Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
YYLGD,27,47,20,27.0,23.5,20.0,23.98,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
OYLUM,25,63,3,25.0,31.5,3.0,23.88,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
SMRVA,36,62,0,36.0,31.0,0.0,23.75,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
SAHOL,22,45,23,22.0,22.5,23.0,23.72,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
BRLSM,25,65,0,25.0,32.5,0.0,23.62,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
HATEK,38,58,3,38.0,29.0,3.0,23.55,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
SEKFK,31,58,5,31.0,29.0,5.0,23.45,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
KUTPO,39,60,0,39.0,30.0,0.0,23.4,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
BURCE,39,57,3,39.0,28.5,3.0,23.33,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
GIPTA,37,60,0,37.0,30.0,0.0,23.2,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
KLKIM,27,45,18,27.0,22.5,18.0,22.72,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
MEDTR,34,55,3,34.0,27.5,3.0,22.17,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
TERA,25,42,20,25.0,21.0,20.0,22.15,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
UCAYM,36,51,3,36.0,25.5,3.0,21.07,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION
VKING,31,55,0,31.0,27.5,0.0,20.98,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
TEKTU,35,53,0,35.0,26.5,0.0,20.73,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION
GENKM,28,55,0,28.0,27.5,0.0,20.68,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
RUBNS,28,41,15,28.0,20.5,15.0,20.62,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
ELITE,32,53,0,32.0,26.5,0.0,20.43,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
TCELL,25,41,15,25.0,20.5,15.0,20.33,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
AYCES,33,49,3,33.0,24.5,3.0,20.12,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
EKOS,19,53,3,19.0,26.5,3.0,20.02,ALMA,HEAVY_DOWN_TREND,WATCH,HEAVY_DISTRIBUTION
YATAS,29,49,3,29.0,24.5,3.0,19.73,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
SARKY,31,50,0,31.0,25.0,0.0,19.35,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
KUYAS,31,49,0,31.0,24.5,0.0,19.03,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
VAKFA,31,49,0,31.0,24.5,0.0,19.03,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
EGPRO,23,48,3,23.0,24.0,3.0,18.8,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
BLCYT,25,50,0,25.0,25.0,0.0,18.75,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
ALKIM,26,49,0,26.0,24.5,0.0,18.53,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
AKBNK,20,49,0,20.0,24.5,0.0,17.93,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
MEGMT,26,47,0,26.0,23.5,0.0,17.88,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
