Hisse,Trend,Dip,Volume,fibonacci,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu,fibonacci Durumu
BRKVY,40,53,0,85,40.0,26.5,0.0,38.52,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
YUNSA,27,52,0,95,27.0,26.0,0.0,38.25,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
HTTBT,42,48,0,85,42.0,24.0,0.0,38.05,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
AZTEK,31,46,0,95,31.0,23.0,0.0,38.0,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
TEKTU,32,58,0,85,32.0,29.0,0.0,37.8,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
AVPGY,30,46,0,95,30.0,23.0,0.0,37.8,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
SMRVA,45,43,0,85,45.0,21.5,0.0,37.77,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
DENGE,18,35,20,95,18.0,17.5,20.0,37.48,ALMA,HEAVY_DOWN_TREND,WEAK,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
ISSEN,30,58,0,85,30.0,29.0,0.0,37.4,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
SILVR,20,37,15,95,20.0,18.5,15.0,37.23,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
GLRMK,21,67,0,85,21.0,33.5,0.0,37.17,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
TATGD,47,98,3,40,47.0,49.0,3.0,37.15,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_MID_ZONE
DOKTA,38,46,0,85,38.0,23.0,0.0,36.9,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
BLCYT,41,41,0,85,41.0,20.5,0.0,36.62,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
GIPTA,33,35,0,95,33.0,17.5,0.0,36.48,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
UNLU,27,56,0,85,27.0,28.0,0.0,36.45,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
MEDTR,36,45,0,85,36.0,22.5,0.0,36.33,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
KRVGD,32,49,0,85,32.0,24.5,0.0,36.23,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
PAPIL,37,43,0,85,37.0,21.5,0.0,36.17,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
IHYAY,30,51,0,85,30.0,25.5,0.0,36.17,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
OYYAT,34,46,0,85,34.0,23.0,0.0,36.1,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
SELVA,31,44,3,85,31.0,22.0,3.0,35.75,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
LRSHO,42,34,0,85,42.0,17.0,0.0,35.6,ALMA,EARLY_REBOUND,WEAK,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
CEMTS,18,44,15,85,18.0,22.0,15.0,35.55,ALMA,HEAVY_DOWN_TREND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
YONGA,24,54,0,85,24.0,27.0,0.0,35.5,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
GARAN,28,40,8,85,28.0,20.0,8.0,35.45,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
GRNYO,24,50,3,85,24.0,25.0,3.0,35.4,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ZEDUR,39,36,0,85,39.0,18.0,0.0,35.35,ALMA,EARLY_REBOUND,WEAK,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
FMIZP,23,25,13,95,23.0,12.5,13.0,35.33,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
ADGYO,26,50,0,85,26.0,25.0,0.0,35.2,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ISFIN,35,92,10,40,35.0,46.0,10.0,35.1,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_MID_ZONE
YKBNK,25,39,10,85,25.0,19.5,10.0,35.08,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
SNGYO,26,49,0,85,26.0,24.5,0.0,35.02,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
IHGZT,26,49,0,85,26.0,24.5,0.0,35.02,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
KSTUR,25,43,5,85,25.0,21.5,5.0,34.77,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
BRSAN,46,85,3,40,46.0,42.5,3.0,34.67,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_MID_ZONE
AKBNK,25,45,0,85,25.0,22.5,0.0,34.12,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
KRTEK,22,48,0,85,22.0,24.0,0.0,34.05,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
AYCES,34,34,0,85,34.0,17.0,0.0,34.0,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
TSGYO,25,44,0,85,25.0,22.0,0.0,33.95,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
MEGMT,26,42,0,85,26.0,21.0,0.0,33.8,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
EGPRO,31,71,25,40,31.0,35.5,25.0,33.62,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_MID_ZONE
OYLUM,32,63,28,40,32.0,31.5,28.0,33.02,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_MID_ZONE
KATMR,26,36,0,85,26.0,18.0,0.0,32.75,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
SEGYO,18,40,3,85,18.0,20.0,3.0,32.45,ALMA,HEAVY_DOWN_TREND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
KUYAS,18,31,10,85,18.0,15.5,10.0,32.27,ALMA,HEAVY_DOWN_TREND,WEAK,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
HATEK,26,30,0,85,26.0,15.0,0.0,31.7,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ORCAY,27,56,25,40,27.0,28.0,25.0,30.2,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_MID_ZONE
ARTMS,32,49,25,40,32.0,24.5,25.0,29.98,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION,FIB_MID_ZONE
QUAGR,35,58,0,40,35.0,29.0,0.0,27.15,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_MID_ZONE
EDATA,40,45,0,40,40.0,22.5,0.0,25.88,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_MID_ZONE
